Movie Title,Like to View Ratio,Difference From Average Runtime,IMDB Rating to Box Office Sales Ratio(*10^7)
Avengers: Endgame,0.02206262838740414,66,0.09785955522832149
The Lion King,0.010566746068557164,3,0.12508322564173457
Toy Story 4,0.01678627804409984,-15,0.17740381851535914
Frozen II,0.009399882060408973,-12,0.15808634360845125
Captain Marvel,0.018282161571738117,8,0.15931407269771503
Star Wars: Episode IX - The Rise of Skywalker,0.01378167369254222,26,0.1663654028105423
Spider-Man: Far from Home,0.022900014387628818,14,0.18948507137384116
Aladdin,0.014953831651562869,-25,0.22499768364884684
Joker,0.015021944482372035,7,0.251668418553498
It Chapter Two,0.011910550284221255,54,0.3071931961830083
Jumanji: The Next Level,0.007280588292207362,8,0.3487865995313891
Us,0.009626826799088634,1,0.38838371717258025
Fast & Furious Presents: Hobbs & Shaw,0.0037344169446055287,22,0.37365569817610317
John Wick: Chapter 3 - Parabellum,0.013334091061692633,15,0.43270884266891846
How to Train Your Dragon: The Hidden World,0.005904970885903169,-11,0.4602004216368701
The Secret Life of Pets 2,0.001401901211515252,-29,0.40519306832419333
Pokémon Detective Pikachu,0.011426467269945936,-11,0.45105890797417053
Once Upon a Time in Hollywood,0.009386668147422941,46,0.5387130236595388
Shazam!,0.010063757617926048,17,0.49867617149148685
Aquaman,0.010422106280850541,28,0.49999270966512305
Knives Out,0.008749961502258003,15,0.682732019411817
Dumbo,0.01205298285836984,-3,0.5489415983386134
Maleficent: Mistress of Evil,0.015331165551131686,4,0.5825513324595122
Glass,0.009417192281965395,14,0.5943350789855111
Godzilla: King of the Monsters,0.011537510167662586,17,0.5429857472214198
The Upside,0.0012679110343940183,11,0.6466362347953535
Ford v Ferrari,0.011041328645133217,37,0.7556220801503453
The Lego Movie 2: The Second Part,0.009244173924913815,-8,0.6237801553756976
Hustlers,0.023434326867508747,-5,0.600224981472341
The Addams Family,0.006571646490241936,-16,0.7099802134688247
Downton Abbey,0.005164355500662528,7,0.7640376561121232
Rocketman,0.006407564660279248,6,0.7575116096436831
Alita: Battle Angel,0.008316170518864477,7,0.8517071653423787
Good Boys,0.0025742315390409744,-25,0.8058666514891105
Spider-Man: Into the Spider-Verse,0.014430728703093332,2,1.0232065062778286
Men in Black: International,0.013493145539790473,-1,0.6999841891071286
Annabelle Comes Home,0.012089662580109423,-9,0.7956566210882638
Yesterday,0.0093624963145795,1,0.9278633966759294
A Madea Family Funeral,0.011636087435640421,-6,0.6279259557903271
Zombieland: Double Tap,0.015319997346005245,-16,0.9186871888769853
Angel Has Fallen,0.006192483174033175,6,0.9271272746995253
Scary Stories to Tell in the Dark,0.008616871527026324,-7,0.8992404681416869
Mary Poppins Returns,0.004289971047978642,15,1.0147213809079747
X-Men: Dark Phoenix,0.008918626587357635,-2,0.8656565699825475
Terminator: Dark Fate,0.010674696295408197,13,0.995934706970388
Abominable,0.010390697089265277,-18,1.1536065903237291
Dora and the Lost City of Gold,0.006488315457880791,-13,1.0086321884327316
Escape Room,0.009590767809468633,-16,1.1226966978209738
A Beautiful Day in the Neighborhood,0.011835600217466208,-6,1.2696846753979707
Midway,0.006449107296004388,23,1.1904938744292648
